book_id,titulo,autor,genero,descripcion,paginas,ano,portada_url
01N88IPrDnYC,The Dead Zone,Stephen King,thriller,A supernatural thriller that plunges the reader into the fate awaiting all mankind -- The Dead Zone. Copyright ÃÂÃÂ© Libri GmbH. All rights reserved.,392.0,1979,https://covers.openlibrary.org/b/id/14653991-L.jpg
afSBdDkZTgkC,The Holcroft Covenant,Robert Ludlum,thriller,"The Fourth Reich is waiting to be born. The only man who can stop it is about to sign its birth certificate. In 1945 the children of the Third Reich were secretly hidden all over the world-to be concealed until the 1970's, when they would come of age. Then the most elaborate plans and $780 million in a Swiss bank would be waiting. There would even be an unsuspecting outsider to set the plan into action. that outsider is Noel Holcroft, the American son of a high-ranking Nazi. He's just been shown an amazing document, the Holcroft Covenant. If he signs, it will be his own death warrant and a devastating threat to the security of the world.",514.0,1978,https://covers.openlibrary.org/b/id/1364556-L.jpg
J7ywAAAAIAAJ,The Dark Half,Stephen King,thriller,"Evidence indicates that Thad Beaumont whose novels seem to be the product of a twisted imagination, may just be quilty of a series of monstrous murders. Copyright ÃÂÃÂ© Libri GmbH. All rights reserved.",454.0,1989,https://covers.openlibrary.org/b/id/8530409-L.jpg
MBtctNppOJAC,Tripwire,Lee Child,thriller,"Digging swimming pools by hand in Key West, former military policeman Jack Reacher is not pleased when Costello, a private detective, starts asking questions about him. When Costello is found dead, Reacher knows that he is in serious trouble.",548.0,2011,https://covers.openlibrary.org/b/id/14424673-L.jpg
-A7Yp3tF39oC,Immoral,Brian Freeman,thriller,"In a moral world, murder is the ultimate crime, a killer pays the ultimate price, and the victim remains buried. Unless everyone is immoral.",364.0,2005,https://covers.openlibrary.org/b/id/5269026-L.jpg
2TWvWe5qRVUC,White Fang,Jack London,thriller,The adventures in the northern wilderness of a dog who is part wolf and how he comes to make his peace with man.,371.0,2006,https://covers.openlibrary.org/b/id/8236920-L.jpg
Nq5aAAAAMAAJ,The Testament,John Grisham,thriller,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament.",452.0,1999,https://covers.openlibrary.org/b/id/9322888-L.jpg
HuWP4w41tOEC,Brother Odd,Dean Ray Koontz,thriller,"Loop me in, odd one.The words, spoken in the deep of night by a sleeping child, chill the young man watching over her. For this was a favorite phrase of Stormy Llewellyn, his lost love, and Stormy is dead, gone forever from this world. In the haunted halls of the isolated monastery where he had sought peace, Odd Thomas is stalking spirits of an infinitely darker nature Through twoNew York Timesbestselling novels Odd Thomas has established himself as one of the most beloved and unique fictional heroes of our time. Now, wielding all the power and magic of a master storyteller at the pinnacle of his craft, Dean Koontz follows Odd into a singular new world where he hopes to make a fresh beginningÃÂ¢ÃÂÃÂbut where he will meet an adversary as old and inexorable as time itself. St. BartholomewÃÂ¢ÃÂÃÂs Abbey sits in majestic solitude amid the wild peaks of CaliforniaÃÂ¢ÃÂÃÂs high Sierra, a haven for children otherwise abandoned, and a sanctuary for those seeking insight. Odd Thomas has come here to learn to live fully again, and among the eccentric monks, their other guests, and the nuns and young students of the attached convent school, he has begun to find his way. The silent spirits of the dead who visited him in his earlier life are mercifully absent, save for the bell-ringing Brother Constantine and OddÃÂ¢ÃÂÃÂs steady companion, the King of Rock 'n' Roll. But trouble has a way of finding Odd Thomas, and it slinks back onto his path in the form of the sinister bodachs he has met previously, the black shades who herald death and disaster, and who come late one December night to hover above the abbeyÃÂ¢ÃÂÃÂs most precious charges. For Odd is about to face an enemy who eclipses any he has yet encountered, as he embarks on a journey of mystery, wonder, and sheer suspense that surpasses all that has come before. From the Hardcover edition.",466.0,2007,https://covers.openlibrary.org/b/id/12879784-L.jpg
UGUahZnpa0MC,The Visitor,Lee Child,thriller,"""Sergeant Amy Callan and Lieutenant Caroline Cook have a lot in common. Both were army high-flyers. Both were acquainted with Jack Reacher. Both were forced to resign from the service. Now they're both dead. Both were found in their own home, naked, in a bath full of paint. Both apparent victims of an army man. A loner, a smart guy with a score to settle, a ruthless vigilante. A man just like Jack Reacher.""--Cover.",516.0,2001,https://covers.openlibrary.org/b/id/14425212-L.jpg
nt2gYevSZrMC,The Harbinger,Jonathan Cahn,thriller,"An anonymous man has received nine seals from The Prophet, with each seal containing mysterious sayings and prophecies from the Book of Isaiah about America's recent past and possible future destruction.",274.0,2011,https://covers.openlibrary.org/b/id/8928070-L.jpg
2gKZBAAAQBAJ,Cimarron Rose,James Lee Burke,thriller,"""Lucas Smothers, nineteen and from the wrong end of town, has been arrested for the rape and murder of a local girl. His lawyer, former Texas Ranger Billy Bob Holland, is convinced of Lucas's innocence--but proving it means unearthing the truth from the seething mass of deceit and corruption that spreads like wildfire in a gossipy small town where everybody knows everybody else's business""--Amazon.com.",416.0,2014,https://covers.openlibrary.org/b/id/545461-L.jpg
NqtaAAAAMAAJ,Mercy,Julie Garwood,thriller,"When attorney Theo Buchanan takes ill at a ceremony honouring his work, a beautiful young surgeon saves his life. When Theo seeks her out, he discovers that she is in mortal danger because she knows too much about a mercy killing.",428.0,2001,https://covers.openlibrary.org/b/id/404586-L.jpg
-_6Z2_JdZdwC,Hot Springs,Stephen Hunter,thriller,"This novel is set in the summer of 1946. Hot Springs, Arkansas is the center of this book about corruption and the life an ex-Marine named Earl Swagger.",488.0,2000,https://covers.openlibrary.org/b/id/428331-L.jpg
PUElhNMR-9QC,A Simple Plan,Scott Smith,thriller,Two brothers and their friend stumble upon the wreakage of a plane--the pilot is dead and his duffle bag contains four million dollars in cash.,434.0,2007,https://covers.openlibrary.org/b/id/4007042-L.jpg
g40bVuX9wmYC,The Da Vinci Code,Dan Brown,thriller,"Robert Langdon, Harvard Professor of symbology, receives an urgent late-night call while in Paris: the curator of the Louvre has been murdered. Alongside the body is a series of baffling ciphers. Langdon and a gifted French cryptologist, Sophie Neveu, are stunned to find a trail that leads to the to the works of Da Vinci - and further. The curator, part of a secret society named the Priory of Sion, may have sacrificed his life to keep secret the location of a vastly important religious relic hidden for centuries. It appears that the clandestine Vatican-sanctioned Catholic sect Opus Dei has now made its move. Unless Landon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever.",468.0,2003,https://covers.openlibrary.org/b/id/9255229-L.jpg
PQibPwAACAAJ,Night Fall,Nelson DeMille,thriller,"On July 17, 1996, TWA Flight 800 exploded off the coast of Long Island. Five years later, the crash has been attributed to a mechanical malfunction. But for John Corey and his wife Kate Mayfield, both members of the elite Anti-Terrorist Task Force, the case is not closed.",581.0,2005,https://covers.openlibrary.org/b/id/8581171-L.jpg
eDls6pNzpccC,Robert Ludlum's The Altman Code,Robert Ludlum,thriller,"When a Chinese cargo ship is rumored to be carrying tons of chemicals to be used by a rogue nation to create new biological weapons, the president enlists Covert-One Agent John Smith to uncover the truth. Martin's Press.",500.0,2004,https://covers.openlibrary.org/b/id/10294795-L.jpg
07KIj2s9GzYC,The Partner,John Grisham,thriller,"They hired him. They trusted him. Now they don't want justice--they want revenge.... For four years, Patrick had often wondered how it would feel if they caught him. Now he was terror-stricken. Practically naked and strapped down like an animal, he knew the next few hours would be insufferable.... Once he was a well-liked, well-paid young partner in a thriving Mississippi law firm. Then Patrick Lanigan stole ninety million dollars from his own firm--and ran for his life. For four years, he evaded men who were rich, powerful, and would stop at nothing to find him. Then, inevitably, on the edge of the Brazilian jungle, they finally tracked him down. Now Patrick is coming home. And in the Mississippi city where it all began, an extraordinary trial is about to begin. As prosecutors circle like sharks, as Patrick's lawyer prepares his defense, as Patrick's lover prays for his deliverance and his former partners wait for their revenge, another story is about to emerge. Because Patrick Lanigan, the most reviled white-collar criminal of his time, knows something that no one else in the world knows. He knows the truth....",488.0,1998,https://covers.openlibrary.org/b/id/9323420-L.jpg
aQUWFZWdg1IC,Path of the Assassin,Brad Thor,thriller,"With action-packed prose and dead-on authenticity, Thor and his indomitable hero Scot Harvath--from ""The Lions of Lucerne""--are back, raising the stakes and taking on an anonymous terrorist bent on stoking a global holy war of apocalyptic proportions.",545.0,2003,https://covers.openlibrary.org/b/id/6889826-L.jpg
i2GcPwAACAAJ,The Apprentice,Tess Gerritsen,thriller,"Although serial killer Warren Hoyt is behind bars, a copycat-at-large continues his legacy of murders performed with twisted medical techniques.",439.0,2002,https://covers.openlibrary.org/b/id/210358-L.jpg
GP9aAAAAMAAJ,No One to Trust,Iris Johansen,thriller,"Trained as a sniper, Elena didn't need anyone to survive. But now she finds herself on the run from one dangerous man and turning for help to another.",312.0,2002,https://covers.openlibrary.org/b/id/227148-L.jpg
Yi9CPgAACAAJ,The Waste Lands,Stephen King,thriller,"There are new evils, new dangers to threaten Roland's little band in the devastated city of Lud and the surrounding wastelands, as well as horrific confrontations with Blaine the Mono, the piratical Gasher, and the frightening Tick-Tock Man.",584.0,2003,https://covers.openlibrary.org/b/id/14654089-L.jpg
OTP9jwEACAAJ,The Skin Collector,Jeffery Deaver,thriller,"A tattoo artist is using poison instead of ink. And on a young woman's skin he's left a message: 'the second.' Drafted in to investigate, Lincoln Rhyme and Amelia Sachs find a single piece of evidence--a scrap of paper that connects this case with one they will never forget. And like the 'Bone Collector' before him, Rhyme and Sachs find themselves pitted against a perpetrator who plans his work to the last detail.",,2015,https://covers.openlibrary.org/b/id/9155110-L.jpg
yRSoAAAAIAAJ,The Eleventh Commandment,Jeffrey Archer,thriller,"ELEVENTH COMMANDMENT Jeffrey Archer Connor Fitzgerald has an impressive resume. Military hero. Devoted family man. Servant of his country--as an assassin. Just as he's about to put his twenty-eight-year career at the CIA behind him, he comes up against the most dangerous enemy he's ever faced: His own boss, Helen Dexter."""" As Director of the CIA, Dexter has always been the one to hold the strings. But when her status is threatened by a greater power, her only hope for survival is to destroy Fitzgerald. Meanwhile, the country braces itself as tensions with a new Russian leader reach the boiling point...and it's up to Fitzgerald to pull off his most daring mission yet: To save the world. Even if that means risking everything--including his own life--in the process.",360.0,1998,https://covers.openlibrary.org/b/id/9625005-L.jpg
QKBipzO4E7IC,The Princess Bride,William Goldman,thriller,"William Goldman's cult classic, a story of pirates, evil princes, sorcerers and of course - true love!",416.0,1999,https://covers.openlibrary.org/b/id/9284881-L.jpg
A0i1qocdUhEC,Hour Game,David Baldacci,thriller,"Baldacci's #1 ""New York Times"" bestseller brings back Sean King and Michelle Maxwell--the unstoppable duo from ""Split Second""--on the trails of two diabolical killers, one of whom is copying the other--and stealing the ""credit.""",740.0,2005,https://covers.openlibrary.org/b/id/2271161-L.jpg
7UHjoQEACAAJ,King and Maxwell,David Baldacci,thriller,"The teenage son of an U.S. MIA in Afghanistan hires Sean King and Michelle Maxwell--former Secret Service agents turned private investigators--to solve the mystery surrounding his father. But their investigation quickly leads to deeper, more troubling questions. Could Tyler's father really still be alive? What was his true mission? Could Tyler be the next target?",297.0,2014,https://covers.openlibrary.org/b/id/12656801-L.jpg
Rj_yXkq4AZsC,The Darkest Evening of the Year,Dean R. Koontz,thriller,"A fast-paced and emotionally devastating suspense novel from the bestselling author of Velocity,The Husband and The Good Guy Amy Redwing recklessly risks everything in her chosen field of dog rescue. When she confronts a violent drunk in order to rescue Nickie, a beautiful golden retriever, Amy has no misgivings. Dogs always do their best, and so will she. Whatever it takes. Riding shotgun nervously is her friend and lover, Brian, an architect who would marry her if only she were not so committed to these crazy ... heroics! He blames her work for her refusal to marry him. But everything is due to change in the Redwing household. Someone is trying to destroy Amy. Subtle intrusions escalate into terrifying assaults on everything she holds dear. Amy believes her attacker is Wes Greeley, just released after an eighteen-month stretch, thanks to Amy's testimony, for egregious animal cruelty. But if Greeley is the culprit, it's clear he's not working alone. At last Amy understands her need of Brian, and a lot more from her troubled past that has been hidden by her passion. Unable to turn to any authority, Amy and Brian are pressed to the edge of a precipice as Koontz's most emotionally devastating thriller races with inexorable speed to a wrenching climax. Pick up a Dean Koontz thriller and you can't put it down: try one",452.0,2008,https://covers.openlibrary.org/b/id/12888113-L.jpg
YdA1YgEACAAJ,Transfer of Power,Vince Flynn,thriller,"THE NEW YORK TIMES NUMBER ONE BESTSELLER On a busy Washington morning, amid the shuffle of tourists and the brisk rush of government officials, the stately calm of the White House is shattered in a hail of gunfire. A group of terrorists has descended on the Executive Mansion, and gained access by means of a violent massacre that has left dozens of innocent bystanders murdered. Through the quick actions of the Secret Service, the president is evacuated to his underground bunker - but not before almost one hundred hostages are taken. While the politicians and the military leaders argue over how to negotiate with the terrorists, one man is sent to break through the barrage of panicked responses and political agendas surrounding the crisis. Mitch Rapp, the CIA's top counterterrorism agent, makes his way into the White House and soon discovers that the president is not as safe as Washington's power elite had thought. And, in a race against time, he makes a chilling discovery that could determine the fate of America - and realizes that the terrorist attack is only the beginning of a master scheme to undermine an entire nation. AMERICAN ASSASSIN, book one in the series, is soon to be a MAJOR MOTION PICTURE starring Dylan O'Brien (Maze Runner), Taylor Kitsch (True Detective) and Michael Keaton. Praise for the Mitch Rapp series 'Sizzles with inside information and CIA secrets' Dan Brown 'A cracking, uncompromising yarn that literally takes no prisoners' The Times 'Vince Flynn clearly has one eye on Lee Child's action thriller throne with this twist-laden story...instantly gripping' Shortlist 'Action-packed, in-your-face, adrenalin-pumped super-hero macho escapist fiction that does exactly what it says on the label' Irish Independent",,2011,https://covers.openlibrary.org/b/id/4309601-L.jpg
ZpinPwAACAAJ,City of Bones,Michael Connelly,thriller,"On New Year's Day, a dog finds a bone in the Hollywood Hills--and unearths a murder committed more than twenty years earlier. It's a cold case, but for Detective Harry Bosch, it stirs up memories of his childhood as an orphan. He can't let it go. As the investigation takes Bosch deeper into the past, a beautiful rookie cop brings him alive in the present. No official warning can break them apart--or prepare Bosch for the explosions when the case takes a few hard turns. Suddenly all of L.A. is in an uproar, and Bosch, fighting to keep control, is driven to the brink of an unimaginable decision.",416.0,2002,https://covers.openlibrary.org/b/id/188419-L.jpg
M0PEOj7I9IkC,Artifact,Kevin J. Anderson,thriller,The discovery of four stones of non-earthly origin triggers a deadly race to find the final piece and complete the mysterious artifact.,300.0,2003,https://covers.openlibrary.org/b/id/6885553-L.jpg
4X0gAQAAIAAJ,Sheba,Jack Higgins,thriller,"While helping a woman search for her missing husband, the American archaeologist Gavin Kane discovers the legendary Temple of Sheba in Southern Arabia, and finds the Nazis are planning to turn it into Hilter's secret stronghold.",296.0,1994,https://covers.openlibrary.org/b/id/11712770-L.jpg
ZMLkjwEACAAJ,A Brief History of Seven Killings,Marlon James,thriller,"On 3 December 1976, just weeks before Bob Marley was to play the Smile Jamaica Concert to ease political tensions, seven gunmen from West Kingston stormed his house. Marley survived and went on to perform at the free concert. Not a lot was recorded about the fate of the seven gunmen, but much has been said, whispered and sung about in the streets of West Kingston.",,2015,https://covers.openlibrary.org/b/id/7359856-L.jpg
BR-9jwEACAAJ,Found,Harlan Coben,thriller,Mickey and his friends once again face dangers untold in their quest to discover the truth about the mysterious Abeona Foundation and what really happened to Mickey's father. Things take a strange turn for Mickey when one of the basketball players from his team disappears and another is accused of taking steroids. An unexpected hand of friendship is offered--and Mickey and Ema may just be a step closer to unravelling the mystery...,,2015,https://covers.openlibrary.org/b/id/7384726-L.jpg
zGi7ykBppIcC,Four Blind Mice,James Patterson,thriller,"Alex Cross is plunged into a case where military codes of honor conceal dark currents of revenge and ambition, and the men controlling the moves have the best weapons and training the world can offer.",412.0,2002,https://covers.openlibrary.org/b/id/189670-L.jpg
8FXDwAEACAAJ,Ticktock,Dean Ray Koontz,thriller,"Detective novelist Tommy Phan comes home to find a strange doll on his doorstep. That night, something terrifying breaks out of the doll and begins to follow Tommy wherever he goes.",,1997,https://covers.openlibrary.org/b/id/10302169-L.jpg
k0k_PgAACAAJ,Hold Tight,Harlan Coben,thriller,"Tia & Mike Baye never imagined they'd become the type of parents who spy on their kids. But their 16-year-old son Adam has beenunusually distant lately, & after the suicide of his classmate Spencer Hill, they can't help but worry.",584.0,2008,https://covers.openlibrary.org/b/id/8647964-L.jpg
kVsIeb1Asl4C,Lost City,Clive Cussler,thriller,"When an enzyme capable of prolonging life is discovered deep beneath the North Atlantic, NUMA Special Assignments Team leader Kurt Austin and his colleague, Joe Zavala, investigate a killer who is targeting the enzyme's harvesters and researchers.",662.0,2004,https://covers.openlibrary.org/b/id/10129454-L.jpg
uKT7lv947g0C,Mortal Fear,Robin Cook,thriller,Internist Jason Howard believes that eminent geneticist Dr. Alvin Hayes was murdered and that the key to his death lies hidden in the Boston Health Care Clinic's molecular genetics lab,374.0,1989,https://covers.openlibrary.org/b/id/12575896-L.jpg
0zW7oQEACAAJ,Gideon's Corpse,Preston Douglas J Child Lincoln,thriller,"A top nuclear scientist turns homicidal, taking an innocent family hostage at gunpoint. Gideon Crew, a colleague of the scientist at Los Alamos, is called in to talk the man down. But the standoff ends in an explosion of violence. When the authorities discover the scientist's body is intensely radioactive, and that he had recently embraced Islamic extremism, all hell breaks loose.",254.0,2014,
3wrIrQEACAAJ,A Song of Shadows,John Connolly,thriller,"Grievously wounded private detective Charlie Parker investigates a case that has its origins in a Nazi concentration camp during the Second World War. Broken, but undeterred, private detective Charlie Parker faces the darkest of dark forces in a case with its roots in the second world war, and a concentration camp unlike any other . . . Recovering from a near-fatal shooting and tormented by memories of a world beyond this one, Parker has retreated to the small Maine town of Boreas to recover. There he befriends a widow named Ruth Winter and her young daughter, Amanda. But Ruth has her secrets. She is hiding from the past, and the forces that threaten her have their origins in the Second World War, in a town called Lubko and a concentration camp unlike any other. Old atrocities are about to be unearthed, and old sinners will kill to hide their sins. Now Parker is about to risk his life to defend a woman he barely knows, one who fears him almost as much as she fears those who are coming for her. His enemies believe him to be vulnerable. Fearful. Solitary. But they are wrong. Parker is far from afraid, and far from alone. For something is emerging from the shadows . . .",,2015,https://covers.openlibrary.org/b/id/10139058-L.jpg
WuhePwAACAAJ,Just Take My Heart,Mary Higgins Clark,thriller,"Emily Wallace has been given a plum assignment: to investigate the murder of Broadway star Natalie Raines. But when a neighbour offers to take care of Emily's dog in her absence, she gives him the key to her home - unaware of his violent past.",479.0,2009,https://covers.openlibrary.org/b/id/8335764-L.jpg
8GfMjPUExuIC,Skin Privilege,Karin Slaughter,thriller,"It's no simple case of murder. The charred remains of a woman have been found, and Detective Lena Adams is charged with homicide. The evidence leads Sara Linton - Grant Country's resident medical examiner/pediatrician - and her husband, police chief Jeffrey Tolliver, to those who are poisoning a small town with their sickening hatred.",578.0,2011,https://covers.openlibrary.org/b/id/10807313-L.jpg
sJR8PwAACAAJ,Body Double,Tess Gerritsen,thriller,"Pathologist Dr Maura Isles' blood runs cold when she sees the lifeless body on the medical examiner's table - for it is the mirror image of herself. And when a DNA test confirms that Maura's doppelganger is in fact her twin sister, an already bizarre murder investigation becomes a disturbing and dangerous excursion into a dark past.",392.0,2005,https://covers.openlibrary.org/b/id/210873-L.jpg
tV7-zgEACAAJ,Satanstoe,James Fenimore Cooper,thriller,"Set in New York in the mid-1700s, this classic novel is regarded as the most accomplished work of American novelist James Fenimore Cooper's later period. Charming protagonist Cornelius Littlepage navigates the still-evolving mores of colonial society and leads readers through a remarkably detailed portrait of America's early years.",,2005,https://covers.openlibrary.org/b/id/1801459-L.jpg
F0M9PgAACAAJ,Chill Factor,Sandra Brown,thriller,"Chief Dutch Burton and his police force have been searching for a killer dubbed 'Blue', so called for his habit of leaving a blue ribbon near the spot where each of his victims were last seen.",680.0,2005,https://covers.openlibrary.org/b/id/9624102-L.jpg
4FTHkQEACAAJ,The 500,Matthew Quirk,thriller,"Mike Ford was following his father into a life of crime, when he chose to go straight and instead worked his way through Harvard Law School. Now he's landed the ultimate job with the Davies Group, a powerful political consulting firm run by the charismatic Henry Davies. But he's about to discover that power comes with a price.",392.0,2013,https://covers.openlibrary.org/b/id/7978281-L.jpg
1IEhyG44uMEC,"20,000 Leagues Under the Sea",Jules Verne,science+fiction,The abridged adventures of a French professor and his two companions as they sail above and below the world's oceans as prisoners on the fabulous electric submarine of the deranged Captain Nemo.,168.0,2006,https://covers.openlibrary.org/b/id/7385699-L.jpg
