user_id,book_id,rating,afinidad
U_0000,LXPrLcFdIPwC,3.6,0.097
U_0000,9JHEDQAAQBAJ,3.7,0.023
U_0000,8IcHTwEACAAJ,3.1,0.064
U_0000,VJ0sDgAAQBAJ,3.4,0.025
U_0000,34ZsoQBoOU8C,3.4,0.03
U_0000,oujfURqtC78C,3.6,0.196
U_0000,RWGQWwr3vXoC,3.6,0.043
U_0000,8rFnC58v-S8C,3.2,0.037
U_0000,VfQZ0QEACAAJ,2.7,0.064
U_0000,Y12-OQ5BDjcC,3.3,0.025
U_0000,MBtctNppOJAC,3.4,0.002
U_0000,erpIAAAAYAAJ,3.8,0.196
U_0000,JQP8CwAAQBAJ,3.7,0.131
U_0001,y7T0ex_gX_8C,3.4,0.042
U_0001,YDFRDwAAQBAJ,2.6,0.039
U_0001,ZpNWAAAAYAAJ,3.1,0.09
U_0001,dDiH6lyeyYcC,3.4,0.067
U_0001,6HdQAAAAMAAJ,3.5,0.026
U_0002,b1KrjW8QuVAC,3.6,0.047
U_0002,O2xxhFcOXfwC,3.3,0.039
U_0002,iLVdjwEACAAJ,3.3,0.043
U_0002,HmD99eLenMwC,3.8,0.047
U_0002,8JN5AAAAMAAJ,3.6,0.117
U_0002,T6uL_5tTspgC,3.3,0.082
U_0002,sWPBQQ5vl2MC,3.0,0.047
U_0002,cod9AAAAMAAJ,3.9,0.072
U_0003,2zs_gq_DPC4C,3.6,0.047
U_0003,CiCOAwAAQBAJ,3.2,0.018
U_0003,4JkdHOHCyjoC,3.8,0.058
U_0003,d2EGay2vA_AC,3.6,0.055
U_0003,N4zH86WogYwC,4.0,0.036
U_0003,IbcH0QEACAAJ,4.1,0.172
U_0003,h68vDwAAQBAJ,3.7,0.036
U_0003,zMWSmSAmsvQC,4.4,0.172
U_0003,IRvbMgEACAAJ,4.3,0.058
U_0003,13mAEAAAQBAJ,3.9,0.058
U_0003,vwt6of7puqwC,3.6,0.047
U_0003,1ROJDwAAQBAJ,3.8,0.021
U_0003,ujPWygAACAAJ,3.7,0.055
U_0003,2CaVwgEACAAJ,4.0,0.045
U_0003,uwxBYgEACAAJ,4.2,0.172
U_0003,mu4sGQV8X44C,3.6,0.022
U_0003,aZBw8kYM5T0C,3.3,0.047
U_0003,K0wjRTKmJtAC,3.9,0.074
U_0003,n31_EQAAQBAJ,4.0,0.036
U_0004,FGFy2Pl_LSUC,3.1,0.0
U_0004,p68eEAAAQBAJ,3.4,0.26
U_0004,dhtB6wh57roC,3.1,0.126
U_0004,b1KrjW8QuVAC,3.7,0.26
U_0004,rQ48mioxnxMC,3.2,0.07
U_0004,xvH0swEACAAJ,3.7,0.008
U_0004,Tj86zgEACAAJ,3.4,0.084
U_0004,bBwPteCmsuIC,3.7,0.26
U_0004,sWPBQQ5vl2MC,3.1,0.26
U_0004,GHMnz8G0GTcC,2.9,0.086
U_0004,yVt0swEACAAJ,3.0,0.008
U_0004,MxIUDAAAQBAJ,2.5,0.021
U_0004,4X0gAQAAIAAJ,2.4,0.009
U_0004,2zUnXBLoN1gC,3.1,0.26
U_0004,mWI7EAAAQBAJ,2.9,0.086
U_0004,vIIH0QEACAAJ,3.0,0.084
U_0004,lgUhtwEACAAJ,3.4,0.084
U_0004,cvEmqurURoUC,3.0,0.0
U_0004,oRgZyxrB6ZEC,2.9,0.09
U_0004,5S3NBgAAQBAJ,3.0,0.26
U_0004,0mUTDxfv6BgC,2.8,0.076
U_0004,lrUqYRMF30EC,2.8,0.008
U_0004,PtT0C1rWniIC,2.6,0.05
U_0004,FD72ekYZqIkC,3.3,0.026
U_0004,irAcxdmzo-IC,2.8,0.004
U_0004,kXPhCgAAQBAJ,3.3,0.26
U_0005,i6diAAAAMAAJ,3.5,0.255
U_0005,VfQZ0QEACAAJ,2.3,0.036
U_0005,CNkDAQAAIAAJ,2.6,0.015
U_0005,7KoHDheyeLwC,3.5,0.255
U_0005,HmD99eLenMwC,3.5,0.045
U_0005,8e-fPwAACAAJ,3.3,0.024
U_0005,FKN8AgAAQBAJ,2.9,0.045
U_0005,cSDgBAAAQBAJ,3.1,0.03
U_0005,B6eQBQAAQBAJ,3.0,0.255
U_0005,VLs-iGcK8pQC,2.8,0.024
U_0005,2H6A_c8fMbsC,3.1,0.03
U_0005,3Tv4aTj6zl4C,2.8,0.255
U_0005,L0LYzwEACAAJ,3.4,0.052
U_0005,0zW7oQEACAAJ,2.9,0.061
U_0005,ddlN5vNGcpwC,3.5,0.115
U_0005,Kn-rpZFcWeUC,4.0,0.255
U_0005,Y4kcmQEACAAJ,3.1,0.024
U_0005,NqyJ8nCyUtoC,3.1,0.255
U_0005,3J6OijlYquwC,3.5,0.079
U_0005,-BSzDo0oYhcC,3.0,0.255
U_0005,GNYS9ERL7I8C,3.2,0.052
U_0006,Pvl1c_ge9A8C,3.5,0.002
U_0006,iYrf0eWxx_AC,3.8,0.075
U_0006,rQ48mioxnxMC,3.9,0.075
U_0006,bzMkAQAAIAAJ,3.9,0.081
U_0006,nVnaCwAAQBAJ,3.5,0.011
U_0006,UY7bjfq3mYkC,4.2,0.03
U_0006,Pnqx6B2lF60C,3.6,0.03
U_0006,jHtA0QEACAAJ,4.0,0.108
U_0006,reNohFsTpEEC,3.0,0.081
U_0006,dzAy2Uf5b30C,4.2,0.149
U_0006,h_rXAAAAMAAJ,3.7,0.026
U_0006,m7pXjwEACAAJ,4.2,0.075
U_0006,21YlBAAAQBAJ,4.1,0.038
U_0006,N8LS0b0_bvUC,4.0,0.012
U_0006,owYUDAAAQBAJ,3.6,0.062
U_0006,6P_jN6zUuMcC,3.8,0.035
U_0007,p7iFBAAAQBAJ,3.8,0.048
U_0007,XfkrDAAAQBAJ,2.8,0.018
U_0007,dzAy2Uf5b30C,3.9,0.141
U_0008,ZRY3PAAACAAJ,2.4,0.019
U_0008,u51FeU6_YFgC,2.6,0.026
U_0008,8U8ObTP81QsC,3.0,0.106
U_0008,oXbLDwAAQBAJ,3.5,0.098
U_0008,XKFDWoh1EdwC,2.7,0.044
U_0008,60TnngEACAAJ,3.1,0.106
U_0008,UFjDDwAAQBAJ,2.6,0.087
U_0008,YlEur3srE00C,2.9,0.106
U_0008,rVjOh08C6KIC,3.0,0.2
U_0008,mmcQAQAAIAAJ,2.8,0.023
U_0008,RW9xER26nBcC,3.1,0.087
U_0008,NM5PqgKd2dsC,3.5,0.2
U_0008,UY7bjfq3mYkC,3.7,0.2
U_0008,VYI3bNt2ssEC,2.9,0.2
U_0008,odV-pwAACAAJ,3.7,0.106
U_0008,cSDgBAAAQBAJ,3.2,0.098
U_0009,w3mAEAAAQBAJ,3.6,0.039
U_0009,2V1tHqi4hLEC,4.0,0.146
U_0009,ZAr2xgEACAAJ,3.1,0.044
U_0009,-pM6F_hcpRUC,3.5,0.07
U_0009,hsJVQMQHlc4C,3.4,0.023
U_0009,4VjeBAAAQBAJ,3.3,0.146
U_0009,bA0gAQAAIAAJ,3.4,0.043
U_0010,9JIZEQAAQBAJ,2.4,0.002
U_0010,FKN8AgAAQBAJ,2.7,0.002
U_0010,vmEzVXLI1sMC,3.3,0.02
U_0010,4FTHkQEACAAJ,3.1,0.078
U_0010,ujPWygAACAAJ,3.0,0.123
U_0010,L0LYzwEACAAJ,3.4,0.123
U_0010,dhtB6wh57roC,2.8,0.019
U_0010,vwt6of7puqwC,3.3,0.285
U_0010,ZMLkjwEACAAJ,3.0,0.078
U_0010,p-t-3_n3MdwC,2.9,0.123
U_0010,y-_LAgAAQBAJ,3.0,0.018
U_0010,dBqYCZorGp4C,2.9,0.038
U_0010,mmeAEQAAQBAJ,2.4,0.001
U_0010,2nvOJmqNqGMC,3.0,0.058
U_0010,045nFy6ZETYC,3.0,0.018
U_0010,2gKZBAAAQBAJ,3.1,0.078
U_0010,tYRTEAAAQBAJ,3.0,0.082
